image,plate,ocr_conf,det_conf,valid_format
HP1.jpg,LHPI7HIJR4,0.001,0.781,False
HP22.jpg,FHP64B3380,0.348,0.803,False
JK24.jpg,JK0ZBKJOB8,0.1,0.802,False
JK29.jpg,EJKO1F03107,0.131,0.807,False
JK6.jpg,3021DJTRC,0.271,0.87,False
KL3.jpg,,0.0,0.836,False
MH8.jpg,MIO2DN7410,0.341,0.819,False
ML14.jpg,FAL70B9308,0.037,0.796,False
ML16.jpg,TAN,0.038,0.861,False
ML26.jpg,E0L0G0346,0.02,0.82,False
ML27.jpg,FML05K9494,0.494,0.795,False
MP3.jpg,DMP65C0854,0.124,0.793,False
OD17.jpg,JODMEAL,0.01,0.787,False
OD6.jpg,BOBRND0Z,0.02,0.829,False
PB25.jpg,EPBLOCL5005,0.091,0.77,False
SK3.jpg,ESKQIP4ZZ08,0.185,0.825,False
TR5.jpg,TROLX0482,0.707,0.804,False
UK8.jpg,LUKOZBKSQ1L,0.113,0.817,False
UP16.jpg,NP32KN7325,0.181,0.806,True
UP17.jpg,FUP32CX3400,0.323,0.815,False
WB25.jpg,,0.0,0.913,False
acd85f93-544d-494e-b2f3-2d445937bb0b___new_1431956d1446017445-number-plates-merchandise-canvas-ink-gurgaon-edit-closed-thumb_img_4418_1024.jpg.jpg,MHO3BS7778,0.523,0.808,False
ad1f5cbc-7545-407e-8974-a03ddb7b7779___833542696_1_1080x720_mahindra-scorpio-vlx-4wd-airbag-bs-iv-2012-diesel-.jpg.jpg,TN28BA9999,0.934,0.799,True
af608b5e-07d6-4bcf-84d0-f0cba9e54e12___Skoda-Superb-Rear-Profile.jpg.jpg,MH2OCS4946,0.578,0.79,True
b4eb91cd-3e77-40c2-bbe6-13d42f2ea4ba___INNOVA_Euro_Number_Plates.jpg.jpg,KL43B2344,0.45,0.823,True
car-wbs-HR26CM6005_00000.jpg,HR26CM6005,0.992,0.818,True
car-wbs-HR26CT4063_00000.jpg,HR26CT4063,0.615,0.824,True
car-wbs-HR26DG6167_00000.jpg,FHR26DC6162,0.18,0.839,False
car-wbs-KL65H4383_00000.jpg,KL65H4383,0.855,0.78,True
car-wbs-MH01AV8866_00000.jpg,MHO1AV8866,0.503,0.802,False
car-wbs-MH12DE1433_00000.jpg,WH42DE1433,0.384,0.843,True
car-wbs-TN21AT0480_00000.jpg,TN21AT0480,0.698,0.829,True
car-wbs-TN28BA9999_00000.jpg,TN28BA9999,0.654,0.802,True
car-wbs-UP32FH2653_00000.jpg,FH2653UP32,0.822,0.883,False
car-ybs-MH47N4570_00000.jpg,MH47N4570,0.622,0.814,True
d16041c1-831d-4cc9-8869-68be8b6e12d7___slider-new-2.jpg.jpg,KL12G7531,0.584,0.784,True
f9e27b82-9e65-44ba-bf9a-b3ced8901937___Skoda-Superb-Exterior-deadfront-69204.jpg.jpg,MH20DV2362,0.476,0.77,True
fac9f4e6-c4b9-4872-86da-79d58ea2adc5___5273.jpg.jpg,CIR0280DA9U,0.037,0.752,False
video10_1260.jpg,HO5DS8679,0.273,0.814,True
video10_1390.jpg,,0.0,0.763,False
video10_910.jpg,HHOAUOO5C,0.028,0.736,False
video10_920.jpg,HOAUOO5,0.052,0.775,False
video11_1030.jpg,MH47Y1124,0.965,0.865,True
video11_1870.jpg,MH47Y1124,0.726,0.854,True
video11_1890.jpg,MH47Y1124,0.788,0.828,True
video11_1930.jpg,MH47Y1124,0.773,0.839,True
video11_2010.jpg,HPDQO06,0.034,0.849,False
video11_2210.jpg,INDMHAZAV6753,0.743,0.843,False
video11_2380.jpg,H12FT9458QI,0.412,0.799,False
video11_3320.jpg,MH02BQ9628,0.619,0.853,True
video11_3640.jpg,MELORAL3856,0.434,0.866,False
video11_3880.jpg,9898,0.516,0.797,False
video11_3910.jpg,MH04JM3383,0.884,0.824,True
video11_4470.jpg,K402HA5324,0.487,0.858,False
video11_4790.jpg,MH03CPI328,0.475,0.819,False
video11_550.jpg,MHD2DQ0196,0.314,0.85,False
video2_2870.jpg,DA4505HHO3L,0.537,0.835,False
video2_310.jpg,M1OEU6884,0.066,0.839,False
video2_3740.jpg,MH47H2829,0.52,0.827,True
video3_1140.jpg,TA,0.211,0.808,False
video3_1190.jpg,MN81482,0.022,0.847,False
video3_1200.jpg,KI12BT6482,0.386,0.757,True
video3_1760.jpg,KH02BT6482,0.293,0.821,True
video3_1810.jpg,MH02BT6482,0.61,0.848,True
video3_2250.jpg,MH02BT6482,0.631,0.82,True
video4_2210.jpg,CI,0.082,0.818,False
video4_2640.jpg,WHATINM,0.016,0.83,False
video4_2830.jpg,MHOLAV7461,0.431,0.847,False
video4_3790.jpg,NHO2018021,0.113,0.852,False
video5_1830.jpg,KHOICV6333,0.171,0.836,False
video6_1040.jpg,HH020S9365,0.287,0.818,False
video6_260.jpg,MHH064Z3571,0.519,0.786,False
video6_910.jpg,MHO2DS9365,0.679,0.837,False
video8_1310.jpg,,0.0,0.848,False
video8_1340.jpg,M0T8G7161,0.181,0.845,False
video8_850.jpg,MK0IBT0050,0.324,0.825,True
video9_270.jpg,HHOZFH2783,0.687,0.833,False
video9_80.jpg,INOMHOIDT1917,0.771,0.81,False
